Year,Brand,Model,driven ,owners,fuel,prices,car type
2019,Maruti,Swift,16434,1,PETROL,625000,Hatchback
2021,Tata,Tiago,17550,1,PETROL,537000,Hatchback
2015,Honda,Jazz,76743,2,DIESEL,566000,Hatchback
2017,Hyundai,Grand,22370,1,PETROL,533000,Hatchback
2016,HONDA,JAZZ,51336,1,PETROL,575000,Hatchback
2017,Hyundai,Elite,86324,1,DIESEL,690000,Hatchback
2018,Nissan,Micra,18774,1,PETROL,559000,Hatchback
2020,Maruti,New,34803,1,PETROL,608000,Hatchback
2020,Tata,ALTROZ,55321,1,PETROL,729000,Hatchback
2017,Hyundai,i20,61739,1,PETROL,678000,Hatchback
2016,Maruti,ALTO,48009,1,PETROL,378000,Hatchback
2019,Maruti,Celerio,26493,1,PETROL,485000,Hatchback
2017,Tata,Tiago,46667,2,PETROL,544000,Hatchback
2020,FORD,FREESTYLE,30624,1,DIESEL,752000,Hatchback
2019,Hyundai,NEW,20851,2,PETROL,512000,Hatchback
2018,Tata,TIAGO,69335,1,PETROL,504000,Hatchback
2017,Hyundai,Elite,74472,2,PETROL,532000,Hatchback
2018,Maruti,Alto,50603,1,PETROL,340000,Hatchback
2021,Maruti,Alto,12514,1,PETROL,367000,Hatchback
2018,Maruti,Alto,57300,1,PETROL,317000,Hatchback
2018,Hyundai,Elite,56415,1,PETROL,747000,Hatchback
2018,Maruti,Alto,36536,2,PETROL,316000,Hatchback
2021,Maruti,CELERIO,21107,1,PETROL,516000,Hatchback
2016,Maruti,Wagon,58426,1,PETROL,436000,Hatchback
2016,Maruti,Baleno,51723,1,PETROL,625000,Hatchback
2018,Nissan,Micra,81680,1,PETROL,451000,Hatchback
2017,Hyundai,Grand,54280,1,PETROL,508000,Hatchback
2019,Maruti,Swift,31508,1,PETROL,610000,Hatchback
2021,Maruti,SWIFT,10821,1,PETROL,865000,Hatchback
2018,Maruti,Swift,18544,1,PETROL,610000,Hatchback
2019,Maruti,Baleno,34072,2,PETROL,657000,Hatchback
2022,Tata,Tiago,1409,1,CNG,800000,Hatchback
2020,Hyundai,GRAND,26310,2,PETROL,663000,Hatchback
2013,Maruti,WAGON,61173,2,PETROL,328000,Hatchback
2018,Hyundai,Grand,21558,2,PETROL,567000,Hatchback
2018,Hyundai,Elite,44400,1,PETROL,688000,Hatchback
2015,Honda,JAZZ,44960,1,PETROL,546000,Hatchback
2016,Hyundai,Elite,52276,1,PETROL,619000,Hatchback
2019,Hyundai,Grand,56176,1,PETROL,568000,Hatchback
2018,Maruti,Swift,65363,1,PETROL,678000,Hatchback
2018,Hyundai,Eon,78988,2,PETROL,336000,Hatchback
2015,Maruti,Celerio,64727,2,PETROL,387000,Hatchback
2018,Datsun,Redi,22367,1,PETROL,346000,Hatchback
2018,Maruti,Celerio,66511,2,PETROL,543000,Hatchback
2016,Honda,Jazz,81703,1,PETROL,540000,Hatchback
2021,Hyundai,NEW,29004,1,PETROL,818000,Hatchback
2016,Maruti,ALTO,70479,1,PETROL,330000,Hatchback
2017,Maruti,Baleno,51054,1,PETROL,638000,Hatchback
2019,Hyundai,NEW,30784,1,PETROL,503000,Hatchback
2021,Tata,Tiago,27107,1,PETROL,586000,Hatchback
2022,Hyundai,GRAND,1265,1,PETROL,800000,Hatchback
2021,Maruti,Baleno,15699,1,PETROL,853000,Hatchback
2014,Hyundai,Grand,74532,2,PETROL,405000,Hatchback
2014,Hyundai,Elite,40400,1,PETROL,598000,Hatchback
2015,Hyundai,Elite,78961,1,PETROL,567000,Hatchback
2017,Maruti,Baleno,28228,1,PETROL,678000,Hatchback
2018,Maruti,Celerio,72112,1,PETROL,561000,Hatchback
2018,Maruti,ALTO,29992,1,PETROL,334000,Hatchback
2019,Maruti,Baleno,74812,1,PETROL,722000,Hatchback
2019,Datsun,Redi,22961,2,PETROL,368000,Hatchback
2016,Maruti,Alto,50538,2,PETROL,305000,Hatchback
2017,Maruti,Celerio,97409,2,PETROL,491000,Hatchback
2019,TOYOTA,Glanza,48210,1,PETROL,739000,Hatchback
2018,Maruti,Celerio,45630,1,PETROL,468000,Hatchback
2018,Hyundai,Grand,38675,2,PETROL,535000,Hatchback
2020,Maruti,S,10704,1,PETROL,437000,Hatchback
2020,Maruti,ALTO,28867,1,PETROL,408000,Hatchback
2020,Maruti,Swift,39804,1,PETROL,651000,Hatchback
2014,Hyundai,Elite,71257,2,PETROL,532000,Hatchback
2019,Maruti,S,14435,1,PETROL,473000,Hatchback
2019,Datsun,Redi,23072,1,PETROL,341000,Hatchback
2017,Maruti,Celerio,79381,1,PETROL,427000,Hatchback
2020,Maruti,Alto,35551,1,PETROL,425000,Hatchback
2019,Hyundai,Elite,26935,1,PETROL,851000,Hatchback
2014,Hyundai,Grand,79941,1,PETROL,409000,Hatchback
2021,Maruti,ALTO,23479,1,PETROL,410000,Hatchback
2018,Hyundai,Grand,59963,1,PETROL,524000,Hatchback
2020,Maruti,Swift,80144,1,PETROL,649000,Hatchback
2016,Hyundai,Elite,33212,1,PETROL,649000,Hatchback
2021,Tata,ALTROZ,39436,1,PETROL,647000,Hatchback
2016,Maruti,Alto,44754,2,PETROL,316000,Hatchback
2020,HYUNDAI,ELITE,40556,1,PETROL,785000,Hatchback
2019,Maruti,Alto,26485,1,PETROL,389000,Hatchback
2019,Maruti,New,28461,1,PETROL,551000,Hatchback
2022,Maruti,ALTO,13095,1,PETROL,456000,Hatchback
2021,Datsun,Redi,49254,1,PETROL,452000,Hatchback
2019,TATA,TIAGO,35183,1,PETROL,525000,Hatchback
2017,VOLKSWAGEN,POLO,97912,2,PETROL,599000,Hatchback
2018,Tata,Tiago,43688,1,PETROL,538000,Hatchback
2019,Maruti,Alto,15873,2,PETROL,346000,Hatchback
2018,Maruti,Celerio,56436,1,PETROL,555000,Hatchback
2018,Maruti,Swift,44968,1,PETROL,619000,Hatchback
2017,Maruti,Wagon,82331,2,PETROL,407000,Hatchback
2020,Hyundai,Elite,32184,1,PETROL,878000,Hatchback
2020,HYUNDAI,ELITE,52294,1,PETROL,745000,Hatchback
2018,Hyundai,Grand,17935,1,PETROL,614000,Hatchback
2017,Hyundai,Grand,45231,2,PETROL,490000,Hatchback
2021,Tata,ALTROZ,11953,1,PETROL,723000,Hatchback
2020,Maruti,Celerio,32760,2,PETROL,505000,Hatchback
2018,Maruti,Alto,51903,2,PETROL,370000,Hatchback
2016,Hyundai,i20,81398,1,PETROL,653000,Hatchback
2019,Datsun,Go,85674,1,PETROL,442000,Hatchback
2021,HYUNDAI,NEW,23022,1,PETROL,541000,Hatchback
2018,Hyundai,Elite,42463,2,PETROL,648000,Hatchback
2017,Hyundai,Elite,22050,1,PETROL,709000,Hatchback
2018,Hyundai,Elite,97326,1,PETROL,645000,Hatchback
2018,Tata,Tiago,48949,1,PETROL,498000,Hatchback
2019,Ford,FREESTYLE,36236,1,PETROL,605000,Hatchback
2015,Maruti,Wagon,75135,2,PETROL,346000,Hatchback
2020,Hyundai,NEW,15626,1,PETROL,628000,Hatchback
2021,Datsun,Redi,7683,1,PETROL,454000,Hatchback
2020,Maruti,S,19029,1,PETROL,403000,Hatchback
2016,HONDA,JAZZ,86227,2,PETROL,529000,Hatchback
2021,Hyundai,NEW,47338,1,PETROL,818000,Hatchback
2017,HYUNDAI,GRAND,73586,2,PETROL,468000,Hatchback
2021,Honda,Jazz,11624,1,PETROL,891000,Hatchback
2021,Maruti,S,6713,1,PETROL,493000,Hatchback
2019,Maruti,ALTO,10511,1,PETROL,360000,Hatchback
2016,Hyundai,Elite,42880,1,PETROL,635000,Hatchback
2021,Maruti,Alto,20340,1,CNG,493000,Hatchback
2021,Hyundai,NEW,18055,1,PETROL,550000,Hatchback
2022,Maruti,S,13160,1,PETROL,512000,Hatchback
2017,Hyundai,Grand,45374,1,PETROL,527000,Hatchback
2016,Hyundai,Eon,59310,1,PETROL,330000,Hatchback
2018,Maruti,Alto,60398,2,PETROL,376000,Hatchback
2014,Maruti,Wagon,61551,1,PETROL,357000,Hatchback
2017,TATA,TIAGO,29594,1,PETROL,556000,Hatchback
2018,Maruti,CELERIO,44216,1,PETROL,540000,Hatchback
2017,Maruti,Swift,56657,1,PETROL,552000,Hatchback
2021,Maruti,S,39640,2,PETROL,402000,Hatchback
2019,Maruti,New,33412,1,PETROL,545000,Hatchback
2018,Maruti,Alto,49690,3RD OWNER,PETROL,361000,Hatchback
2018,Tata,Tiago,85984,1,DIESEL,579000,Hatchback
2018,Tata,Tiago,46146,1,PETROL,508000,Hatchback
2017,Maruti,Alto,20815,1,PETROL,326000,Hatchback
2019,Honda,Jazz,6037,1,PETROL,896000,Hatchback
2018,Maruti,Swift,44527,1,PETROL,644000,Hatchback
2018,Maruti,Swift,29581,2,PETROL,614000,Hatchback
2017,Hyundai,Grand,63095,1,PETROL,508000,Hatchback
2019,Tata,TIAGO,22150,1,PETROL,567000,Hatchback
2019,Toyota,Glanza,32624,2,PETROL,789000,Hatchback
2017,Honda,Jazz,55768,2,PETROL,630000,Hatchback
2022,HYUNDAI,NEW,68699,1,PETROL,483000,Hatchback
2018,Maruti,Wagon,73529,2,PETROL,441000,Hatchback
2018,Maruti,ALTO,33617,2,PETROL,330000,Hatchback
2017,Maruti,Celerio,30623,1,PETROL,527000,Hatchback
2016,Hyundai,Eon,69729,2,PETROL,311000,Hatchback
2022,Maruti,Alto,10165,1,PETROL,431000,Hatchback
2021,Maruti,S,12935,1,PETROL,484000,Hatchback
2019,Hyundai,NEW,16702,1,PETROL,543000,Hatchback
2018,Maruti,CELERIO,43055,1,PETROL,539000,Hatchback
2018,Hyundai,Elite,56685,1,PETROL,729000,Hatchback
2020,HYUNDAI,NEW,9590,1,PETROL,849000,Hatchback
2019,Hyundai,Grand,59024,1,PETROL,594000,Hatchback
2019,Hyundai,Grand,46622,2,PETROL,557000,Hatchback
2019,Maruti,Swift,15969,1,PETROL,645000,Hatchback
2019,Maruti,Baleno,85888,2,DIESEL,747000,Hatchback
2022,Hyundai,NEW,5759,1,PETROL,1285000,Hatchback
2022,Tata,ALTROZ,5971,1,PETROL,966000,Hatchback
2018,Maruti,CELERIO,71814,1,PETROL,474000,Hatchback
2017,Maruti,Celerio,64060,2,PETROL,468000,Hatchback
2019,Maruti,S,18603,1,PETROL,445000,Hatchback
2018,Maruti,Celerio,20339,1,PETROL,529000,Hatchback
2022,Maruti,Alto,2190,1,PETROL,415000,Hatchback
2016,Maruti,Wagon,47878,2,PETROL,384000,Hatchback
2022,Hyundai,NEW,6840,1,PETROL,1262000,Hatchback
2019,Hyundai,Grand,42438,1,PETROL,566000,Hatchback
2019,Maruti,S,32376,1,PETROL,468000,Hatchback
2020,Tata,ALTROZ,56841,1,PETROL,742000,Hatchback
2022,Maruti,Swift,9524,1,PETROL,767000,Hatchback
2018,Hyundai,Elite,91609,1,PETROL,603000,Hatchback
2018,Maruti,ALTO,40632,2,PETROL,347000,Hatchback
2021,Toyota,Glanza,86012,1,PETROL,819000,Hatchback
2019,Maruti,CELERIO,85140,1,PETROL,444000,Hatchback
2017,Hyundai,Grand,46579,1,PETROL,534000,Hatchback
2016,Hyundai,Grand,45781,2,PETROL,466000,Hatchback
2018,Maruti,Swift,38795,1,PETROL,619000,Hatchback
2018,Maruti,Baleno,30241,1,PETROL,704000,Hatchback
2022,Hyundai,GRAND,1841,1,PETROL,851000,Hatchback
2019,HYUNDAI,NEW,29389,2,PETROL,503000,Hatchback
2020,Toyota,Glanza,28068,1,PETROL,906000,Hatchback
2016,Hyundai,Grand,99975,1,PETROL,500000,Hatchback
2019,Maruti,Swift,32679,2,PETROL,678000,Hatchback
2017,Maruti,Celerio,78635,2,PETROL,470000,Hatchback
2019,Datsun,Redi,21541,1,PETROL,348000,Hatchback
2018,HYUNDAI,ELITE,38455,1,PETROL,749000,Hatchback
2020,Maruti,Baleno,37675,2,PETROL,909000,Hatchback
2022,Maruti,Swift,22305,1,PETROL,775000,Hatchback
2020,Maruti,Swift,47513,1,PETROL,629000,Hatchback
2022,Toyota,Glanza,25720,1,PETROL,969000,Hatchback
2021,Hyundai,NEW,14261,1,PETROL,824000,Hatchback
2020,Hyundai,GRAND,54078,2,PETROL,663000,Hatchback
2022,HYUNDAI,NEW,2738,1,PETROL,614000,Hatchback
2020,HYUNDAI,GRAND,39605,1,DIESEL,800000,Hatchback
2018,Maruti,Swift,53101,2,PETROL,615000,Hatchback
2019,Maruti,Swift,40512,1,PETROL,619000,Hatchback
2021,HYUNDAI,NEW,11237,1,DIESEL,1184000,Hatchback
2020,Maruti,Swift,50879,1,PETROL,649000,Hatchback
2022,Hyundai,GRAND,11403,1,PETROL,849000,Hatchback
2021,Datsun,Redi,9660,1,PETROL,437000,Hatchback
2021,TOYOTA,Glanza,18647,1,PETROL,913000,Hatchback
2022,HYUNDAI,GRAND,6042,2,PETROL,753000,Hatchback
2017,Maruti,Celerio,49317,2,PETROL,468000,Hatchback
2017,Maruti,Wagon,86298,1,PETROL,447000,Hatchback
2017,Maruti,Celerio,55943,1,PETROL,464000,Hatchback
2020,Maruti,Swift,38938,1,PETROL,673000,Hatchback
2010,Volkswagen,Polo,73268,2,PETROL,312000,Hatchback
2011,Toyota,ETIOS,66370,2,PETROL,328000,Hatchback
2014,Maruti,Swift,101955,1,PETROL,404000,Hatchback
2013,Volkswagen,Polo,82867,2,PETROL,411000,Hatchback
2012,Hyundai,i10,83746,2,PETROL,285000,Hatchback
2018,Hyundai,Elite,95264,2,PETROL,512000,Hatchback
2017,Maruti,Swift,54792,2,PETROL,506000,Hatchback
2019,DATSUN,REDI,66542,1,PETROL,290000,Hatchback
2021,Renault,Kwid,5455,1,PETROL,495000,Hatchback
2016,Volkswagen,Polo,77067,1,PETROL,534000,Hatchback
2018,Renault,Kwid,63276,1,PETROL,399000,Hatchback
2013,Hyundai,Eon,73078,3RD OWNER,PETROL,221000,Hatchback
2021,Maruti,Swift,60539,1,PETROL,600000,Hatchback
2013,Maruti,Ritz,26985,2,PETROL,350000,Hatchback
2015,Maruti,Celerio,88869,1,PETROL,346000,Hatchback
2017,Maruti,Swift,54038,1,PETROL,513000,Hatchback
2017,Hyundai,Elite,89332,1,DIESEL,618000,Hatchback
2018,Maruti,WAGON,71071,1,PETROL,411000,Hatchback
2017,HYUNDAI,ELITE,40368,2,PETROL,595000,Hatchback
2015,Maruti,Alto,82600,2,PETROL,249000,Hatchback
2015,Maruti,Alto,59985,2,PETROL,283000,Hatchback
2019,Tata,Tiago,29314,1,PETROL,492000,Hatchback
2020,Renault,Kwid,10427,1,PETROL,481000,Hatchback
2012,Maruti,Swift,97684,1,DIESEL,414000,Hatchback
2018,HYUNDAI,ELITE,54780,2,DIESEL,688000,Hatchback
2016,HYUNDAI,ELITE,61934,1,DIESEL,620000,Hatchback
2018,Maruti,IGNIS,46172,1,PETROL,529000,Hatchback
2012,Hyundai,i10,34495,2,PETROL,296000,Hatchback
2018,VOLKSWAGEN,POLO,51465,1,PETROL,642000,Hatchback
2018,Tata,Tiago,50329,1,PETROL,495000,Hatchback
2014,Maruti,Wagon,71856,1,PETROL,346000,Hatchback
2016,Maruti,BALENO,87843,2,DIESEL,550000,Hatchback
2018,Maruti,CELERIO,16837,1,PETROL,469000,Hatchback
2016,Maruti,SWIFT,70563,1,PETROL,508000,Hatchback
2017,Maruti,Celerio,47734,2,PETROL,455300,Hatchback
2018,Maruti,Baleno,69269,1,PETROL,769800,Hatchback
2016,Maruti,Baleno,28482,2,PETROL,631000,Hatchback
2016,Hyundai,Grand,62603,1,PETROL,561000,Hatchback
2021,Maruti,Swift,6778,2,PETROL,889000,Hatchback
2013,Honda,Brio,39821,2,PETROL,325000,Hatchback
2016,Hyundai,Tucson,20744,1,PETROL,1359000,luxury SUV
2018,HYUNDAI,TUCSON,26548,1,DIESEL,1836000,luxury SUV
2022,MAHINDRA,XUV,5525,1,PETROL,984000,SUV
2016,Maruti,Vitara,74316,1,DIESEL,574000,SUV
2014,FORD,ECOSPORT,74529,1,DIESEL,393000,SUV
2019,HYUNDAI,VENUE,13066,1,PETROL,832000,SUV
2019,HYUNDAI,VENUE,17859,1,PETROL,898000,SUV
2020,Ford,Ecosport,15549,1,PETROL,728000,SUV
2021,HYUNDAI,VENUE,24478,1,PETROL,910000,SUV
2021,Maruti,XL6,40870,1,PETROL,911000,SUV
2016,Maruti,VITARA,42271,1,DIESEL,640000,SUV
2021,Mahindra,MARAZZO,9247,1,DIESEL,1084000,SUV
2016,Hyundai,Creta,71048,2,PETROL,657000,SUV
2020,Maruti,S,33605,1,PETROL,796000,SUV
2015,HONDA,CRV,47890,1,PETROL,914000,SUV
2018,Hyundai,Creta,57209,1,DIESEL,978000,SUV
2017,HYUNDAI,CRETA,72752,1,DIESEL,845000,SUV
2013,Ford,Ecosport,59978,2,PETROL,431000,SUV
2021,Tata,NEXON,37879,1,DIESEL,938000,SUV
2014,Ford,Ecosport,53888,1,DIESEL,393000,SUV
2016,Hyundai,Creta,88715,1,DIESEL,719000,SUV
2019,Maruti,Vitara,51718,1,DIESEL,718000,SUV
2019,Hyundai,VENUE,15813,1,PETROL,919000,SUV
2016,Hyundai,Creta,34353,1,PETROL,732000,SUV
2017,Hyundai,Creta,88700,1,PETROL,652000,SUV
2020,Tata,NEXON,73321,1,DIESEL,1038000,SUV
2016,HYUNDAI,CRETA,82288,1,DIESEL,689000,SUV
2021,Ford,Ecosport,18991,1,PETROL,950000,SUV
2017,HONDA,WR-V,32844,2,PETROL,671000,SUV
2016,Hyundai,Creta,67437,2,PETROL,816000,SUV
2019,Maruti,Vitara,89657,1,DIESEL,724000,SUV
2020,Honda,WR-V,34934,1,PETROL,727000,SUV
2014,Ford,ECOSPORT,18196,1,PETROL,505000,SUV
2014,Ford,Ecosport,75761,1,PETROL,496000,SUV
2018,FORD,ECOSPORT,53505,1,PETROL,796000,SUV
2017,Ford,Ecosport,89448,1,DIESEL,568000,SUV
2014,Ford,Ecosport,56859,2,DIESEL,409000,SUV
2020,MAHINDRA,SCORPIO,32328,1,DIESEL,1537000,SUV
2018,Mahindra,XUV500,27551,1,DIESEL,1030000,SUV
2014,Maruti,Ertiga,56370,2,PETROL,472000,SUV
2018,HONDA,WR-V,98117,1,DIESEL,493000,SUV
2017,RENAULT,DUSTER,36922,1,PETROL,570000,SUV
2017,HYUNDAI,CRETA,40385,1,DIESEL,744000,SUV
2016,Ford,Ecosport,49219,1,DIESEL,449000,SUV
2017,Honda,City,29401,1,PETROL,609000,Sedan
2012,Toyota,Etios,60025,2,PETROL,244000,Sedan
2014,Honda,City,68677,1,PETROL,417000,Sedan
2015,Toyota,Etios,81041,1,PETROL,295000,Sedan
2010,Maruti,SWIFT,80148,1,PETROL,177000,Sedan
2013,Honda,Amaze,75649,2,DIESEL,276000,Sedan
2016,Hyundai,New,78948,1,DIESEL,953000,Sedan
2013,Honda,Amaze,48308,1,DIESEL,284000,Sedan
2015,Honda,City,81154,1,PETROL,418000,Sedan
2020,Hyundai,Verna,31675,1,PETROL,1066000,Sedan
2013,SKODA,RAPID,91618,2,PETROL,393000,Sedan
2012,Maruti,Swift,46194,2,PETROL,287000,Sedan
2018,HONDA,AMAZE,67055,1,PETROL,502000,Sedan
2014,Maruti,Ciaz,74102,1,PETROL,405000,Sedan
2018,Maruti,DZIRE,57458,1,PETROL,570000,Sedan
2015,Hyundai,Verna,46938,2,DIESEL,547000,Sedan
2018,Toyota,YARIS,13327,2,PETROL,760000,Sedan
2015,Honda,CITY,76456,1,PETROL,461000,Sedan
2018,Maruti,CIAZ,37843,1,PETROL,651000,Sedan
2014,Honda,City,66508,1,PETROL,406000,Sedan
2019,HONDA,CITY,20593,1,PETROL,783000,Sedan
2017,HYUNDAI,VERNA,31780,1,PETROL,651000,Sedan
2015,Toyota,Etios,23653,1,PETROL,420000,Sedan
2014,Maruti,Swift,65990,1,PETROL,367000,Sedan
2019,Hyundai,Verna,45306,1,PETROL,735000,Sedan
2016,Honda,Amaze,98421,1,DIESEL,358000,Sedan
2014,Maruti,SWIFT,43324,2,PETROL,339000,Sedan
2018,Maruti,Dzire,50750,1,PETROL,540000,Sedan
2020,SKODA,RAPID,14049,1,PETROL,967000,Sedan
2014,Maruti,SWIFT,76725,1,PETROL,369000,Sedan
2015,Maruti,Swift,41565,2,PETROL,396000,Sedan
2015,HONDA,CITY,47706,2,PETROL,424000,Sedan
2020,Skoda,Rapid,20946,2,PETROL,812000,Sedan
2015,Maruti,SWIFT,85756,1,PETROL,373000,Sedan
2016,Hyundai,Xcent,99228,1,PETROL,353000,Sedan
2021,Maruti,DZIRE,23227,2,PETROL,790000,Sedan
2014,Hyundai,Xcent,39761,1,PETROL,341000,Sedan
2018,Maruti,Dzire,67676,1,PETROL,591000,Sedan
2014,Maruti,Swift,69273,1,PETROL,360000,Sedan
2021,Tata,TIGOR,70179,1,PETROL,614000,Sedan
2013,Toyota,Corolla,43285,2,DIESEL,427000,Sedan
2017,Maruti,Ciaz,29159,1,PETROL,594000,Sedan
2015,Maruti,Ciaz,66708,2,PETROL,430000,Sedan
2018,Hyundai,Xcent,56038,1,PETROL,491000,Sedan
2021,Tata,TIGOR,51617,1,PETROL,619000,Sedan
2016,Honda,City,65484,1,PETROL,629000,Sedan
2018,Maruti,Dzire,45275,1,PETROL,543000,Sedan
2016,Hyundai,Xcent,21191,2,PETROL,371000,Sedan
2014,Maruti,SWIFT,35237,1,PETROL,370000,Sedan
2021,Hyundai,AURA,3525,1,PETROL,743000,Sedan
2014,Maruti,SWIFT,44495,1,PETROL,341000,Sedan
2013,Honda,Amaze,73892,1,PETROL,292000,Sedan
2018,Maruti,Ciaz,52130,1,PETROL,689000,Sedan
2018,Toyota,YARIS,24092,2,PETROL,783000,Sedan
2017,Maruti,CIAZ,46215,1,PETROL,618000,Sedan
2012,Honda,City,81253,1,PETROL,297000,Sedan
2014,HONDA,CITY,29929,1,PETROL,413000,Sedan
2018,HYUNDAI,VERNA,33929,1,PETROL,727000,Sedan
2013,Maruti,Swift,29324,1,PETROL,334000,Sedan
2016,Maruti,Ciaz,101798,1,DIESEL,515000,Sedan
2010,Maruti,ZEN,22536,1,PETROL,149000,Hatchback
2010,HYUNDAI,I20,100171,1,PETROL,208000,Hatchback
2018,Maruti,Celerio,124206,2,PETROL,404000,Hatchback
2016,Hyundai,i20,50314,2,PETROL,459000,Hatchback
2014,Hyundai,Grand,55842,2,PETROL,397000,Hatchback
2018,HYUNDAI,ELITE,27259,1,PETROL,516000,Hatchback
2020,Maruti,S,53963,1,PETROL,372000,Hatchback
2016,HYUNDAI,ELITE,46580,2,PETROL,397000,Hatchback
2010,HYUNDAI,I10,76641,2,PETROL,172000,Hatchback
2015,Hyundai,i20,72727,1,PETROL,436000,Hatchback
2011,Maruti,ALTO,28135,1,PETROL,175000,Hatchback
2018,Datsun,Redi,37741,1,PETROL,238000,Hatchback
2014,Maruti,WAGON,40486,1,PETROL,276000,Hatchback
2016,Maruti,Celerio,75551,1,PETROL,304000,Hatchback
2012,Honda,Brio,83097,2,PETROL,219000,Hatchback
2010,Hyundai,Santro,36973,1,PETROL,151000,Hatchback
2014,Hyundai,Elite,26955,1,PETROL,415000,Hatchback
2015,Hyundai,i10,39037,1,PETROL,294000,Hatchback
2019,Hyundai,Elite,18825,2,PETROL,544000,Hatchback
2011,Maruti,Alto,42709,1,PETROL,169000,Hatchback
2017,Maruti,Alto,35469,1,PETROL,257000,Hatchback
2019,Maruti,BALENO,39725,1,PETROL,626000,Hatchback
2015,Hyundai,Elite,84240,1,PETROL,403000,Hatchback
2010,Maruti,Ritz,44896,2,PETROL,189000,Hatchback
2013,Maruti,Swift,99624,1,PETROL,284000,Hatchback
2015,Hyundai,Elite,54141,1,PETROL,440000,Hatchback
2020,KIA,SONET,20897,2,PETROL,1074000,Hatchback
2012,Maruti,Swift,90510,1,PETROL,294000,Hatchback
2022,TATA,ALTROZ,3578,1,PETROL,682000,Hatchback
2018,Maruti,Wagon,23747,1,PETROL,386000,Hatchback
2015,HYUNDAI,EON,30290,1,PETROL,238000,Hatchback
2017,HYUNDAI,I20,17447,1,PETROL,572000,Hatchback
2019,DATSUN,GO,15756,2,PETROL,463000,Hatchback
2019,Hyundai,NEW,21929,1,PETROL,393000,Hatchback
2019,Maruti,Swift,39164,1,PETROL,513000,Hatchback
2018,Maruti,Baleno,71700,1,PETROL,524000,Hatchback
2016,Maruti,Swift,26392,1,PETROL,417000,Hatchback
2020,Maruti,Alto,38431,1,PETROL,349000,Hatchback
2013,Maruti,Alto,45643,1,PETROL,203000,Hatchback
2017,Maruti,Wagon,13642,2,PETROL,363000,Hatchback
2014,HYUNDAI,GRAND,60739,1,PETROL,312000,Hatchback
2015,Nissan,Micra,57338,2,PETROL,344000,Hatchback
2015,Hyundai,i10,59833,2,PETROL,275000,Hatchback
2017,Maruti,Wagon,86275,1,PETROL,320000,Hatchback
2016,Maruti,WAGON,28531,2,PETROL,322000,Hatchback
2021,Hyundai,GRAND,10864,1,PETROL,577000,Hatchback
2015,Hyundai,i10,40315,2,PETROL,272000,Hatchback
2015,Maruti,Swift,84771,2,PETROL,371000,Hatchback
2016,Maruti,Swift,50892,1,PETROL,338000,Hatchback
2015,HYUNDAI,ELITE,41970,2,PETROL,403000,Hatchback
2022,TATA,TIAGO,1410,1,CNG,658000,Hatchback
2015,Hyundai,Grand,60358,1,PETROL,354000,Hatchback
2015,Hyundai,Elite,71275,1,PETROL,430000,Hatchback
2018,Hyundai,ELITE,15774,1,PETROL,531000,Hatchback
2011,Maruti,Swift,12348,1,PETROL,237000,Hatchback
2021,Maruti,IGNIS,22244,1,PETROL,522000,Hatchback
2017,Maruti,Alto,18313,1,PETROL,261000,Hatchback
2021,DATSUN,REDI,6573,1,PETROL,403000,Hatchback
2016,Maruti,Alto,52360,2,PETROL,264000,Hatchback
2013,Maruti,Ritz,72014,2,PETROL,282000,Hatchback
2017,Maruti,Baleno,74006,1,PETROL,488000,Hatchback
2017,Maruti,Baleno,95619,1,PETROL,515000,Hatchback
2013,Maruti,Wagon,46873,1,PETROL,228000,Hatchback
2020,Maruti,ALTO,13052,2,PETROL,324000,Hatchback
2016,Hyundai,Elite,39757,2,PETROL,407000,Hatchback
2018,Maruti,BALENO,29098,1,PETROL,576000,Hatchback
2019,Maruti,New,19001,1,PETROL,485000,Hatchback
2020,Maruti,S,31652,1,PETROL,403000,Hatchback
2016,Maruti,Alto,36206,1,PETROL,258000,Hatchback
2014,Maruti,Wagon,24059,1,PETROL,305000,Hatchback
2015,HYUNDAI,GRAND,74873,1,PETROL,326000,Hatchback
2013,Maruti,SWIFT,50626,1,PETROL,313000,Hatchback
2020,Maruti,Alto,10961,1,PETROL,324000,Hatchback
2017,HONDA,JAZZ,66075,1,DIESEL,422000,Hatchback
2014,Maruti,Swift,97465,1,PETROL,318000,Hatchback
2018,Honda,Jazz,67291,1,DIESEL,530000,Hatchback
2016,Maruti,Alto,46033,1,PETROL,237000,Hatchback
2014,Maruti,Wagon,33342,2,PETROL,279000,Hatchback
2017,HYUNDAI,GRAND,43926,1,PETROL,450000,Hatchback
2017,Maruti,Baleno,56402,1,PETROL,562000,Hatchback
2020,Maruti,New,13134,1,PETROL,547000,Hatchback
2017,Maruti,WAGON,55566,2,PETROL,345000,Hatchback
2015,Maruti,Swift,76261,1,PETROL,379000,Hatchback
2018,Maruti,Baleno,24390,2,PETROL,600000,Hatchback
2015,Hyundai,Grand,85976,2,PETROL,320000,Hatchback
2018,Maruti,Alto,29526,2,PETROL,344000,Hatchback
2012,Maruti,Wagon,69286,1,PETROL,237000,Hatchback
2013,Maruti,Swift,92199,1,DIESEL,341000,Hatchback
2016,Maruti,ALTO,25814,2,PETROL,254000,Hatchback
2018,Maruti,Alto,37303,1,PETROL,295000,Hatchback
